Issue Type,Summary,Priority,Story Points,Labels,Description
Epic,Productionize Mattermost Intern Automation,Highest,,mattermost-bot,"Secure attendance, worklog, digest and approved FAQ automation."
Story,Confirm Mattermost readiness,Highest,2,"mattermost-bot,discovery","Record the v11.10 patch, edition, topology, integration settings, test channels and owners without secrets."
Story,Approve data governance,Highest,3,"mattermost-bot,governance","Approve fields, visibility, retention, deletion, correction, backup and export rules."
Story,Provision bot and integrations,Highest,3,"mattermost-bot,security","Configure least-privilege bot, four commands, FAQ webhook, channels and secret rotation owner."
Story,Establish repository and CI gates,High,5,"mattermost-bot,ci","Enable reviews, tests, lint, secret/dependency/image scans, SBOM and immutable images."
Story,Add production database migrations,High,5,"mattermost-bot,database","Implement Alembic upgrade/rollback, indexes and concurrent uniqueness tests."
Story,Productionize attendance and n8n reminders,High,8,"mattermost-bot,attendance,n8n","Implement approved timezone, late/duplicate/correction policy and authenticated idempotent n8n scheduling."
Story,Productionize worklogs and n8n digest,High,5,"mattermost-bot,worklog,n8n","Validate daily records, corrections, restricted n8n digest and missing-submission behavior."
Story,Productionize FAQ lifecycle,High,5,"mattermost-bot,faq","Validate, approve, reload, audit and roll back content with safe fallback."
Story,Implement mentor RBAC and exports,Highest,5,"mattermost-bot,rbac","Use approved group authorization; pass 403 negative tests and audited minimized exports."
Story,Harden deployment and operations,High,8,"mattermost-bot,platform","Prove TLS, container controls, private DB, limits, observability, backup/restore and retention."
Story,Complete staging UAT and security review,Highest,8,"mattermost-bot,uat","Pass role, workflow, failure and supported-version E2E tests with redacted approvals."
Story,Pilot rollback and handover,High,5,"mattermost-bot,rollout","Approve pilot metrics, rollback trigger, runbooks, ownership and post-implementation review."
